:START_ID(Person)|:END_ID(Organisation)|workFrom:INT
933|1226|2013
933|1227|2013
933|1230|2013
1129|1189|2004
1129|395|2004
1129|397|2004
2199023256684|553|2008
4398046512167|261|2007
4398046512167|281|2005
4398046512167|283|2006
4398046512167|284|2007
6597069767117|819|2007
6597069767117|820|2007
6597069767117|822|2008
6597069767117|823|2007
6597069770517|1297|2006
6597069770517|1302|2007
8796093025056|307|2008
8796093025056|301|2009
10995116280047|962|2000
10995116280047|966|2001
10995116280047|957|2001
13194139536109|1226|2009
13194139536109|1227|2008
13194139536109|1229|2008
17592186045684|909|2002
17592186048163|963|2007
19791209301794|720|2011
19791209301794|724|2005
19791209301794|725|2010
19791209301794|718|2009
21990232556027|10|2008
21990232556027|11|2008
21990232556585|895|2000
21990232558653|932|2002
21990232558653|937|2002
21990232559044|1560|2008
24189255812290|800|2009
24189255812290|784|2005
24189255812290|801|2008
24189255812290|807|2009
24189255813101|923|2012
24189255813101|925|2001
24189255813101|926|2008
24189255814220|370|2007
24189255814220|392|2006
24189255814220|378|2007
24189255814220|380|2006
26388279066636|296|2009
26388279066636|298|2010
28587302322727|1461|2003
28587302322727|1497|2003
30786325578904|657|2012
30786325580104|769|2003
30786325580104|522|2002
30786325580104|766|2002
30786325580104|767|2002
2035|915|2005
2035|932|2005
2035|923|2004
2035|911|2005
2099|965|2007
2099|949|2006
2099|966|2006
2099|951|2007
2099|958|2007
3067|585|2003
3067|570|2010
3601|551|2007
3601|541|2012
3601|893|2007
3601|542|2001
2199023256181|761|2012
2199023256181|553|2008
2199023258430|1308|2004
2199023258732|449|2010
2199023258732|467|2009
2199023258732|484|2008
2199023258732|456|2008
2199023258732|457|2008
4398046511870|936|2009
4398046511870|923|2009
4398046511870|911|2010
4398046513209|678|2006
6597069766983|838|2005
8796093024398|296|2011
8796093024398|297|2012
8796093024398|298|2011
8796093024830|549|2001
13194139536519|545|2013
13194139536519|546|2012
13194139536519|552|2013
13194139536519|553|2013
13194139537106|1239|2001
13194139537106|1255|2001
13194139537106|1272|2001
15393162792434|951|2009
15393162792434|967|2008
17592186047759|933|2010
17592186048261|1380|2008
17592186048261|1368|2009
17592186048261|1370|2007
17592186048261|1387|2008
19791209300372|452|2007
19791209300372|484|2007
19791209300372|488|2008
21990232558019|800|2012
21990232558019|802|2007
21990232558019|804|2011
21990232558019|794|2007
21990232558019|780|2008
26388279067350|915|2009
26388279067350|916|2009
26388279067350|935|2009
26388279067350|936|2009
26388279067350|908|2009
26388279068275|209|2011
26388279068856|997|2007
28587302322873|337|2001
28587302322873|341|2000
28587302322873|344|2000
30786325578788|464|2009
30786325578788|451|2001
30786325578788|444|2009
30786325578788|477|2009
30786325580358|862|2007
30786325580358|863|2006
32985348834675|907|2010
6597069770193|865|2006
6597069770193|866|2006
8796093023143|1297|2008
8796093023143|1300|2008
8796093023143|1301|2009
8796093023461|480|2000
8796093023461|446|2007
8796093024242|545|2008
8796093024242|549|2007
8796093024935|96|2012
8796093024935|81|2011
8796093024935|88|2007
13194139533850|107|2004
13194139533850|108|2004
13194139533850|109|2004
13194139536952|1226|2005
13194139536952|1227|2004
15393162789992|545|2002
15393162789992|546|2003
15393162789992|554|2003
15393162789992|543|2003
15393162790562|1250|2004
15393162790796|771|2007
15393162790796|938|2006
15393162790796|908|2006
15393162790846|1|2003
15393162790846|3|2002
17592186044504|915|2009
17592186044504|923|2001
17592186044504|927|2003
19791209300058|1558|2003
19791209300058|1559|2003
19791209301789|209|2007
19791209301789|205|2007
19791209301789|206|2007
21990232556714|555|2004
21990232556714|575|2004
21990232557292|1443|2003
21990232557292|1528|2003
21990232557292|1516|2004
21990232557481|594|2003
21990232557481|596|2004
21990232557481|600|2004
21990232559223|1145|2010
21990232559223|1165|2008
21990232559223|1167|2008
26388279068731|546|2011
26388279068731|547|2010
26388279068731|548|2009
26388279068731|551|2009
26388279068731|552|2011
28587302322741|145|1998
28587302322741|182|1999
28587302322741|135|1999
28587302322741|185|2000
30786325581370|1065|2005
32985348833558|481|2009
32985348833558|454|2009
32985348833558|455|2008
32985348833558|456|2009
32985348835088|316|2006
32985348835805|168|2003
32985348835805|158|2003
32985348835805|159|2004
1922|1001|2002
1922|1321|2002
1922|1323|2002
4398046512764|592|2003
4398046512764|600|2004
4398046512764|601|2008
4398046512764|602|2003
4398046512764|605|2011
4398046513754|1174|2001
4398046513754|1175|2002
4398046513754|1179|2002
6597069766961|864|2004
6597069766961|865|2003
6597069766961|866|2004
6597069769604|1504|2009
6597069769604|1489|2008
6597069769604|1499|2009
6597069769604|1483|2009
6597069769604|1452|2008
8796093022641|723|2005
8796093022641|1559|2005
8796093022641|1560|2006
8796093022641|1561|2005
8796093023138|1013|2000
8796093023138|1021|2002
8796093023138|1022|1998
10995116280508|679|2007
10995116280508|670|2006
15393162789410|1073|2005
15393162789410|1058|2009
15393162789410|1087|2007
17592186046758|1557|2004
17592186046830|1539|2009
17592186046830|1545|2010
17592186046830|1549|2009
17592186047743|590|2003
17592186047743|606|2001
17592186047743|591|2001
19791209301403|1472|2005
19791209301403|1477|2004
19791209301403|1494|2004
19791209301403|1463|2005
19791209301403|1512|2005
19791209301577|576|2003
19791209301577|580|2004
19791209301577|559|2005
19791209301717|545|2005
21990232555940|936|2001
21990232555940|283|2000
24189255811398|1011|2005
24189255811398|265|2004
24189255811398|286|2005
24189255811398|271|2006
24189255813494|1568|2000
24189255814438|106|2002
24189255814438|108|2001
24189255814438|109|2002
26388279069549|212|2003
26388279069549|229|2003
26388279069739|545|2009
26388279069739|551|2008
26388279069739|541|2009
26388279069739|543|2009
28587302322686|296|2005
28587302322686|297|2005
28587302322686|298|2004
30786325579136|7|2008
30786325579136|11|2009
32985348833849|944|2003
32985348833849|948|2002
32985348833849|942|2003
32985348836386|33|2004
32985348836386|910|2008
32985348836386|926|2011
1845|1567|2005
4398046511463|179|2001
4398046511463|138|2001
4398046511463|157|2000
4398046512636|165|2005
4398046512636|154|2004
4398046513254|813|2009
6597069766695|1093|2007
6597069766695|1095|2007
6597069766695|1047|2007
6597069766695|1083|2007
6597069767625|1557|1999
6597069767625|1560|2001
6597069767625|1561|2001
6597069769535|1297|2005
8796093022467|259|2010
8796093022467|887|2011
8796093022467|888|2011
8796093022467|889|2010
8796093024736|1036|2005
8796093024736|1023|2006
10995116281374|544|2003
10995116281374|541|2003
10995116281374|543|2002
13194139533332|776|2011
13194139533589|352|2001
13194139533589|363|2002
13194139533589|364|2010
13194139533589|349|2005
13194139535371|400|2005
13194139536738|802|2007
13194139536738|795|2006
13194139536738|14|2007
15393162792273|674|2007
15393162792273|677|2002
19791209303604|912|2010
19791209303604|932|2010
19791209303604|908|2007
24189255811694|770|2006
24189255811694|761|2006
24189255811694|765|2007
24189255811694|766|2007
24189255812103|788|2010
24189255812103|806|2012
24189255812103|798|2010
24189255812103|782|2012
26388279068740|416|2008
26388279068740|434|2008
26388279070293|1558|2007
26388279070293|1559|2007
26388279070293|1561|2006
28587302325316|1|2012
28587302325316|3|2004
28587302325316|5|2003
28587302325591|347|2010
28587302325591|348|2009
28587302325591|365|2001
28587302325591|350|2003
28587302325591|366|2012
30786325577960|659|2001
30786325577960|646|2000
30786325577960|647|1999
30786325577960|636|1999
30786325578795|672|2001
30786325578795|675|2011
30786325578795|676|2010
30786325578795|664|2011
30786325579035|1010|1998
30786325579035|535|2000
30786325579035|537|2000
32985348834262|33|2002
32985348834262|24|2001
32985348834262|26|2002
32985348834262|28|2000
32985348834262|524|2002
32985348834823|258|2002
32985348834823|259|2003
32985348835115|936|2007
32985348835115|938|2008
32985348835115|907|2007
65|758|2008
2329|924|2002
2845|1296|2009
3247|400|2006
3247|399|2007
3606|1297|2001
3606|1299|2006
3606|1302|2005
2199023255981|1088|2005
2199023255981|1041|2009
2199023256530|195|2005
2199023256530|201|2005
2199023256530|202|2007
2199023256530|204|2005
2199023258280|1118|2010
2199023259063|3|2003
4398046512826|916|2004
4398046512826|917|2003
4398046512826|1403|2003
4398046512826|910|2002
10995116278915|933|2007
10995116278915|936|2006
10995116278915|923|2007
10995116278915|909|2007
10995116278915|926|2007
10995116279491|944|2008
10995116279491|865|2009
10995116280436|914|1998
10995116280436|905|1999
10995116280436|921|1998
10995116280436|927|1999
10995116280436|911|1999
13194139535450|1394|2009
13194139535450|1399|2012
13194139535450|1404|2009
13194139535878|546|2011
13194139535878|551|2009
13194139535878|552|2010
13194139535878|553|2004
15393162789569|1323|2010
15393162789569|1324|2010
17592186045981|725|2001
17592186045981|717|2000
17592186047318|398|2012
17592186047761|592|2005
17592186047761|593|2006
17592186047761|596|2006
17592186047761|599|2007
17592186047761|603|2006
19791209300474|1558|2001
19791209300739|912|2008
19791209300739|931|2009
19791209300739|935|2008
19791209301463|302|2003
19791209302057|804|2009
21990232556180|1296|2004
21990232556180|1299|2005
21990232556180|1302|2005
