:START_ID(Post)|:END_ID(Tag)
618475290624|59
618475290624|779
618475290624|3047
618475290624|5159
3|59
3|565
3|1767
3|1936
3|1989
3|2855
1030792151044|59
1030792151044|779
1030792151044|2054
1030792151044|2792
1030792151044|5875
1030792151044|9163
412316860440|1930
412316860440|7196
412316860440|10890
206158430586|448
206158430586|1481
206158430586|2924
206158430586|6931
206158430586|13398
206158430594|561
206158430594|2102
206158430594|2118
206158430594|2934
206158430594|10446
206158430610|561
206158430610|590
206158430610|1029
206158430610|2863
206158430610|5156
206158430610|9183
206158430610|9186
206158430610|9201
206158430610|12266
206158430625|561
206158430625|1024
206158430625|9148
206158430625|9273
206158430625|11713
206158430634|561
206158430634|2838
206158430634|6944
206158430634|11750
274877907383|566
274877907383|2002
274877907383|2793
274877907383|2888
274877907383|3000
206158430650|1749
824633721291|1749
481036337629|1749
549755814369|1749
618475291117|1749
274877907457|1749
481036337666|1749
1099511628293|1749
549755814413|1749
824633721378|1749
137438954027|1749
137438954028|1749
618475291181|1749
343597384245|1749
412316860999|2206
412316860999|2859
412316860999|5076
412316860999|7248
412316860999|7590
343597384266|1937
343597384266|7620
343597384266|12049
412316861014|2206
412316861014|5100
412316861014|5127
412316861014|6385
412316861030|2206
412316861030|2987
412316861030|5126
412316861030|7578
343597384297|976
343597384297|1375
343597384297|1937
343597384297|6406
343597384297|6443
343597384297|9146
343597384297|9433
343597384297|14063
343597384298|1937
343597384298|3019
343597384298|6322
343597384298|6397
343597384298|9055
343597384298|9243
343597384298|10176
343597384310|1937
343597384310|7367
343597384310|8063
343597384310|9225
343597384310|11417
412316861047|2030
412316861047|2206
412316861047|11237
412316861047|11583
412316861048|2206
412316861048|6269
412316861048|7547
412316861048|7558
412316861048|7581
618475291262|321
274877907591|321
412316861068|321
412316861092|2206
412316861092|2789
412316861092|2997
412316861092|3037
412316861108|2206
412316861108|2925
412316861108|9148
412316861108|11465
412316861117|1987
412316861117|2206
412316861117|2851
412316861117|5141
412316861117|6972
412316861117|8112
412316861117|11690
412316861126|1679
412316861126|2206
412316861126|3032
412316861126|6962
412316861126|7004
412316861126|7639
412316861127|2016
412316861127|2206
412316861127|9191
412316861127|9299
412316861127|10961
412316861141|2206
412316861141|2976
412316861141|6420
412316861141|10028
412316861141|12963
1030792152120|1807
755914245185|1860
755914245185|6416
893353198963|138
893353198963|417
893353198963|2785
893353198963|2976
893353198963|6993
343597385078|413
343597385078|3019
343597385078|6375
343597385078|9232
343597385078|9318
343597385092|413
343597385092|1763
343597385092|7396
343597385092|12085
618475292298|581
618475292298|2800
687194769272|1767
687194769272|1979
687194769272|2925
687194769272|6543
687194769272|6558
687194769272|6965
687194769272|6996
618475292539|1796
549755815824|1796
687194769312|1796
1030792153351|1410
481036339488|1545
481036339507|1023
