test_id,model,datasetSize,threads,queryName,queryType,elapsedTime,numEntities
c6a3ace1-236e-48c0-8948-57bef4eb98b9,dtgraph,small,1,EnvironmentCoverage,edgesDirection,29,5
c6a3ace1-236e-48c0-8948-57bef4eb98b9,dtgraph,small,1,EnvironmentAggregate,edgesDirection,4558,100
c6a3ace1-236e-48c0-8948-57bef4eb98b9,dtgraph,small,1,MaintenanceOwners,edgesDirection,1772,100
c6a3ace1-236e-48c0-8948-57bef4eb98b9,dtgraph,small,1,EnvironmentOutlier,edgesDirection,9545,8
c6a3ace1-236e-48c0-8948-57bef4eb98b9,dtgraph,small,1,AgentOutlier,edgesDirection,6725,100
c6a3ace1-236e-48c0-8948-57bef4eb98b9,dtgraph,small,1,AgentHistory,edgesDirection,35,1
1beda961-b839-469d-a226-de3d3a68f6a3,dtgraph,small,1,EnvironmentCoverage,edgesDirection,3,5
1beda961-b839-469d-a226-de3d3a68f6a3,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5591,100
1beda961-b839-469d-a226-de3d3a68f6a3,dtgraph,small,1,MaintenanceOwners,edgesDirection,1764,100
1beda961-b839-469d-a226-de3d3a68f6a3,dtgraph,small,1,EnvironmentOutlier,edgesDirection,6704,8
1beda961-b839-469d-a226-de3d3a68f6a3,dtgraph,small,1,AgentOutlier,edgesDirection,6392,100
1beda961-b839-469d-a226-de3d3a68f6a3,dtgraph,small,1,AgentHistory,edgesDirection,35,1
f11c7857-6081-4631-a391-fa2e16e179e1,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
f11c7857-6081-4631-a391-fa2e16e179e1,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5301,100
f11c7857-6081-4631-a391-fa2e16e179e1,dtgraph,small,1,MaintenanceOwners,edgesDirection,3077,100
f11c7857-6081-4631-a391-fa2e16e179e1,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8668,8
f11c7857-6081-4631-a391-fa2e16e179e1,dtgraph,small,1,AgentOutlier,edgesDirection,5871,100
f11c7857-6081-4631-a391-fa2e16e179e1,dtgraph,small,1,AgentHistory,edgesDirection,31,1
43578d6b-8313-4f87-9001-46fbd74ba966,dtgraph,small,1,EnvironmentCoverage,edgesDirection,2,5
43578d6b-8313-4f87-9001-46fbd74ba966,dtgraph,small,1,EnvironmentAggregate,edgesDirection,4937,100
43578d6b-8313-4f87-9001-46fbd74ba966,dtgraph,small,1,MaintenanceOwners,edgesDirection,2965,100
43578d6b-8313-4f87-9001-46fbd74ba966,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8371,8
43578d6b-8313-4f87-9001-46fbd74ba966,dtgraph,small,1,AgentOutlier,edgesDirection,6156,100
43578d6b-8313-4f87-9001-46fbd74ba966,dtgraph,small,1,AgentHistory,edgesDirection,31,1
0b4f789e-afba-4a04-abec-fbb38cb9afca,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
0b4f789e-afba-4a04-abec-fbb38cb9afca,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5018,100
0b4f789e-afba-4a04-abec-fbb38cb9afca,dtgraph,small,1,MaintenanceOwners,edgesDirection,2992,100
0b4f789e-afba-4a04-abec-fbb38cb9afca,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8570,8
0b4f789e-afba-4a04-abec-fbb38cb9afca,dtgraph,small,1,AgentOutlier,edgesDirection,6013,100
0b4f789e-afba-4a04-abec-fbb38cb9afca,dtgraph,small,1,AgentHistory,edgesDirection,37,1
3f39694b-55d8-41b0-a147-3cac4647c56f,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
3f39694b-55d8-41b0-a147-3cac4647c56f,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5222,100
3f39694b-55d8-41b0-a147-3cac4647c56f,dtgraph,small,1,MaintenanceOwners,edgesDirection,3097,100
3f39694b-55d8-41b0-a147-3cac4647c56f,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8374,8
3f39694b-55d8-41b0-a147-3cac4647c56f,dtgraph,small,1,AgentOutlier,edgesDirection,6121,100
3f39694b-55d8-41b0-a147-3cac4647c56f,dtgraph,small,1,AgentHistory,edgesDirection,24,1
5c8cf902-e60a-4ba7-958a-220e9577fd7d,dtgraph,small,1,EnvironmentCoverage,edgesDirection,2,5
5c8cf902-e60a-4ba7-958a-220e9577fd7d,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5102,100
5c8cf902-e60a-4ba7-958a-220e9577fd7d,dtgraph,small,1,MaintenanceOwners,edgesDirection,3010,100
5c8cf902-e60a-4ba7-958a-220e9577fd7d,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8485,8
5c8cf902-e60a-4ba7-958a-220e9577fd7d,dtgraph,small,1,AgentOutlier,edgesDirection,6089,100
5c8cf902-e60a-4ba7-958a-220e9577fd7d,dtgraph,small,1,AgentHistory,edgesDirection,30,1
72590824-7fcb-4890-9e0a-0847616736ab,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
72590824-7fcb-4890-9e0a-0847616736ab,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5165,100
72590824-7fcb-4890-9e0a-0847616736ab,dtgraph,small,1,MaintenanceOwners,edgesDirection,2900,100
72590824-7fcb-4890-9e0a-0847616736ab,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8161,8
72590824-7fcb-4890-9e0a-0847616736ab,dtgraph,small,1,AgentOutlier,edgesDirection,6080,100
