test_id,queryid,model,dataset,datasetSize,threads,elapsedTime,numMachines,cardinality
d1172c15-712c-4f07-9db6-faa28fe4d92e,EnvironmentAggregate,stgraph,smartbench,small,1,2609,1,73
a8850c4d-b2bb-49a0-8d06-fe548bb27d33,EnvironmentAggregate,stgraph,smartbench,small,4,656,1,73
ff0c3dbc-d3ce-4372-bb7f-e6b2ecc23a6d,EnvironmentAggregate,stgraph,smartbench,small,8,484,1,73
3959fef3-260f-424c-9fb5-ddbceddc7ffa,EnvironmentAggregate,stgraph,smartbench,small,16,264,1,73
3d22ddda-9291-4a74-8af0-9ca520c116bd,EnvironmentAggregate,stgraph,smartbench,medium,1,5255,1,90
ea73e549-bdac-4f19-91da-05d7f4dc1219,EnvironmentAggregate,stgraph,smartbench,medium,4,1227,1,90
6d2b94c1-ac2a-431f-981b-6dc10763464e,EnvironmentAggregate,stgraph,smartbench,medium,8,856,1,90
df15f2c0-b30f-47a9-9021-090d0183be96,EnvironmentAggregate,stgraph,smartbench,medium,16,681,1,90
39d3f5f9-d645-44a4-88c5-a066c09dce83,EnvironmentAggregate,stgraph,smartbench,large,1,69405,1,112
eb23493e-1d4b-48d5-90a4-98243027a014,EnvironmentAggregate,stgraph,smartbench,large,4,16798,1,112
94e4e985-03c1-412c-80db-4646f4652ab4,EnvironmentAggregate,stgraph,smartbench,large,8,9621,1,112
b39019cc-94fc-49a8-82b1-c0bf1d5b29a5,EnvironmentAggregate,stgraph,smartbench,large,16,8514,1,112
dd6ed0eb-2197-4a99-8737-a69774c78ae9,AgentOutlier,stgraph,smartbench,small,1,2082,1,100
a54b191a-1180-4990-8af8-d3064aa6f451,AgentOutlier,stgraph,smartbench,small,4,445,1,100
bc119c45-66bf-4010-a25f-fd728cbc0895,AgentOutlier,stgraph,smartbench,small,8,298,1,100
b7bf1f2d-c1f2-47b3-a206-7b954638b671,AgentOutlier,stgraph,smartbench,small,16,232,1,100
8bbecd05-4853-40fd-bc1b-f2386a37718f,AgentOutlier,stgraph,smartbench,medium,1,5991,1,200
5e2a7424-7e89-4562-9028-e23e23c27915,AgentOutlier,stgraph,smartbench,medium,4,1623,1,200
18c7b729-2ae3-4145-b3e1-8a853b76020e,AgentOutlier,stgraph,smartbench,medium,8,994,1,200
2af1f0e7-9013-4fca-8e99-898a322052cc,AgentOutlier,stgraph,smartbench,medium,16,755,1,200
d3c73744-707c-4b9e-8e90-101fe5ca5a4e,AgentOutlier,stgraph,smartbench,large,1,87554,1,1000
3dadcf7e-0e9a-4a0f-9353-60d175ba53ec,AgentOutlier,stgraph,smartbench,large,4,22920,1,1000
0364de4e-90ad-4eee-afdf-a92bdc109300,AgentOutlier,stgraph,smartbench,large,8,13551,1,1000
10e4ab7c-46b4-43e2-a015-88ba1bd84d8b,AgentOutlier,stgraph,smartbench,large,16,11802,1,1000
dec424bc-9caa-4ab9-bc15-aba626cdd7c7,MaintenanceOwners,stgraph,smartbench,small,1,729,1,100
e274352f-eaf5-49cc-9a52-8aea6edd3186,MaintenanceOwners,stgraph,smartbench,small,4,251,1,100
27806553-1ec6-45f2-87a9-2a29a673958d,MaintenanceOwners,stgraph,smartbench,small,8,138,1,100
15480276-51a0-4c92-8750-42a657895a32,MaintenanceOwners,stgraph,smartbench,small,16,138,1,100
